"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","matrix.agent.elysee.tchap.gouv.fr/143.196.253.101","443","INFO","HTTP","",""
"pre_128cipher","matrix.agent.elysee.tchap.gouv.fr/143.196.253.101","443","INFO","No 128 cipher limit bug","",""
"SSLv2","matrix.agent.elysee.tchap.gouv.fr/143.196.253.101","443","OK","not offered","",""
"SSLv3","matrix.agent.elysee.tchap.gouv.fr/143.196.253.101","443","OK","not offered","",""
"TLS1","matrix.agent.elysee.tchap.gouv.fr/143.196.253.101","443","INFO","not offered","",""
"TLS1_1","matrix.agent.elysee.tchap.gouv.fr/143.196.253.101","443","INFO","not offered","",""
"TLS1_2","matrix.agent.elysee.tchap.gouv.fr/143.196.253.101","443","OK","offered","",""
"TLS1_3","matrix.agent.elysee.tchap.gouv.fr/143.196.253.101","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","matrix.agent.elysee.tchap.gouv.fr/143.196.253.101","443","INFO","http/1.1","",""
"cipherlist_NULL","matrix.agent.elysee.tchap.gouv.fr/143.196.253.101","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","matrix.agent.elysee.tchap.gouv.fr/143.196.253.101","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","matrix.agent.elysee.tchap.gouv.fr/143.196.253.101","443","OK","not offered","","CWE-327"
"cipherlist_LOW","matrix.agent.elysee.tchap.gouv.fr/143.196.253.101","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","matrix.agent.elysee.tchap.gouv.fr/143.196.253.101","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","matrix.agent.elysee.tchap.gouv.fr/143.196.253.101","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","matrix.agent.elysee.tchap.gouv.fr/143.196.253.101","443","INFO","not offered","",""
"cipherlist_STRONG","matrix.agent.elysee.tchap.gouv.fr/143.196.253.101","443","OK","offered","",""
"cipherorder_TLSv1_2","matrix.agent.elysee.tchap.gouv.fr/143.196.253.101","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","matrix.agent.elysee.tchap.gouv.fr/143.196.253.101","443","OK","server","",""
"protocol_negotiated","matrix.agent.elysee.tchap.gouv.fr/143.196.253.101","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","matrix.agent.elysee.tchap.gouv.fr/143.196.253.101","443","OK","ECDHE-RSA-AES256-GCM-SHA384, 256 bit ECDH (P-256)","",""
"FS","matrix.agent.elysee.tchap.gouv.fr/143.196.253.101","443","OK","offered","",""
"FS_ciphers","matrix.agent.elysee.tchap.gouv.fr/143.196.253.101","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_ECDHE_curves","matrix.agent.elysee.tchap.gouv.fr/143.196.253.101","443","OK","secp256k1 prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","matrix.agent.elysee.tchap.gouv.fr/143.196.253.101","443","INFO","'server name/#0' 'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'heartbeat/#15' 'application layer protocol negotiation/#16'","",""
"TLS_session_ticket","matrix.agent.elysee.tchap.gouv.fr/143.196.253.101","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","matrix.agent.elysee.tchap.gouv.fr/143.196.253.101","443","INFO","yes","",""
"sessionresumption_ticket","matrix.agent.elysee.tchap.gouv.fr/143.196.253.101","443","INFO","not supported","",""
"sessionresumption_ID","matrix.agent.elysee.tchap.gouv.fr/143.196.253.101","443","INFO","not supported","",""
"TLS_timestamp","matrix.agent.elysee.tchap.gouv.fr/143.196.253.101","443","INFO","random","",""
"cert_compression","matrix.agent.elysee.tchap.gouv.fr/143.196.253.101","443","INFO","N/A","",""
"clientAuth","matrix.agent.elysee.tchap.gouv.fr/143.196.253.101","443","INFO","none","",""
"cert_numbers","matrix.agent.elysee.tchap.gouv.fr/143.196.253.101","443","INFO","1","",""
"cert_signatureAlgorithm","matrix.agent.elysee.tchap.gouv.fr/143.196.253.101","443","OK","SHA256 with RSA","",""
"cert_keySize","matrix.agent.elysee.tchap.gouv.fr/143.196.253.101","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","matrix.agent.elysee.tchap.gouv.fr/143.196.253.101","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","matrix.agent.elysee.tchap.gouv.fr/143.196.253.101","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","matrix.agent.elysee.tchap.gouv.fr/143.196.253.101","443","INFO","5B2D43E98BF6153900F3D5C5E219C6C0","",""
"cert_serialNumberLen","matrix.agent.elysee.tchap.gouv.fr/143.196.253.101","443","INFO","16","",""
"cert_fingerprintSHA1","matrix.agent.elysee.tchap.gouv.fr/143.196.253.101","443","INFO","9F990647F03D1912DFBD34CBF2C51EBE983F83B9","",""
"cert_fingerprintSHA256","matrix.agent.elysee.tchap.gouv.fr/143.196.253.101","443","INFO","24E14106DE0854CB5C9A80F1B6F2663B68713CA36D035015D4DE42B17A8536C3","",""
